powerInW,timeInMinutes
16.46,0
18.81,1
15.44,2
17.12,3
15.35,4
15.6,5
17.32,6
13.51,7
12.7,8
16.61,9
17.05,10
14.7,11
15.99,12
13.9,13
17.82,14
15.0,15
17.51,16
14.88,17
13.99,18
16.97,19
15.66,20
17.08,21
17.0,22
16.54,23
18.03,24
14.89,25
18.31,26
17.46,27
17.08,28
16.4,29
12.66,30
16.57,31
18.1,32
16.66,33
16.75,34
18.46,35
18.56,36
16.91,37
16.4,38
17.02,39
15.48,40
17.81,41
15.62,42
15.96,43
17.78,44
16.86,45
17.33,46
17.48,47
17.33,48
15.41,49
16.44,50
19.5,51
15.14,52
13.76,53
16.25,54
15.54,55
14.17,56
17.57,57
14.69,58
15.55,59
