usage,source,fichier,durée_min
lights,LPG,lights_311min_cycle1.csv,311
lights,LPG,lights_448min_cycle2.csv,448
lights,LPG,lights_112min_cycle3.csv,112
lights,LPG,lights_433min_cycle4.csv,433
lights,LPG,lights_70min_cycle5.csv,70
lights,LPG,lights_488min_cycle6.csv,488
lights,LPG,lights_727min_cycle7.csv,727
lights,LPG,lights_355min_cycle8.csv,355
lights,LPG,lights_409min_cycle9.csv,409
lights,LPG,lights_10min_cycle10.csv,10
lights,LPG,lights_10min_cycle11.csv,10
lights,LPG,lights_30min_cycle12.csv,30
lights,LPG,lights_572min_cycle13.csv,572
lights,LPG,lights_370min_cycle14.csv,370
lights,LPG,lights_10min_cycle15.csv,10
lights,LPG,lights_457min_cycle16.csv,457
lights,LPG,lights_346min_cycle17.csv,346
lights,LPG,lights_482min_cycle18.csv,482
lights,LPG,lights_414min_cycle19.csv,414
lights,LPG,lights_384min_cycle20.csv,384
lights,LPG,lights_179min_cycle21.csv,179
lights,LPG,lights_375min_cycle22.csv,375
lights,LPG,lights_30min_cycle23.csv,30
lights,LPG,lights_448min_cycle24.csv,448
lights,LPG,lights_386min_cycle25.csv,386
lights,LPG,lights_10min_cycle26.csv,10
lights,LPG,lights_20min_cycle27.csv,20
lights,LPG,lights_533min_cycle28.csv,533
lights,LPG,lights_245min_cycle29.csv,245
lights,LPG,lights_10min_cycle30.csv,10
lights,LPG,lights_344min_cycle31.csv,344
lights,LPG,lights_177min_cycle32.csv,177
lights,LPG,lights_382min_cycle33.csv,382
lights,LPG,lights_525min_cycle34.csv,525
lights,LPG,lights_177min_cycle35.csv,177
lights,LPG,lights_242min_cycle36.csv,242
lights,LPG,lights_30min_cycle37.csv,30
lights,LPG,lights_20min_cycle38.csv,20
lights,LPG,lights_519min_cycle39.csv,519
lights,LPG,lights_129min_cycle40.csv,129
lights,LPG,lights_161min_cycle41.csv,161
lights,LPG,lights_50min_cycle42.csv,50
lights,LPG,lights_10min_cycle43.csv,10
lights,LPG,lights_595min_cycle44.csv,595
lights,LPG,lights_114min_cycle45.csv,114
lights,LPG,lights_191min_cycle46.csv,191
lights,LPG,lights_30min_cycle47.csv,30
lights,LPG,lights_140min_cycle48.csv,140
lights,LPG,lights_465min_cycle49.csv,465
lights,LPG,lights_14min_cycle50.csv,14
lights,LPG,lights_360min_cycle51.csv,360
lights,LPG,lights_10min_cycle52.csv,10
lights,LPG,lights_20min_cycle53.csv,20
lights,LPG,lights_80min_cycle54.csv,80
lights,LPG,lights_444min_cycle55.csv,444
hob,SmartHouse,hob_14min_cycle1.csv,14
hob,SmartHouse,hob_7min_cycle2.csv,7
hob,SmartHouse,hob_14min_cycle3.csv,14
hob,SmartHouse,hob_9min_cycle4.csv,9
hob,SmartHouse,hob_30min_cycle5.csv,30
hob,SmartHouse,hob_4min_cycle6.csv,4
hob,SmartHouse,hob_26min_cycle7.csv,26
hob,SmartHouse,hob_21min_cycle8.csv,21
hob,SmartHouse,hob_11min_cycle9.csv,11
hob,SmartHouse,hob_7min_cycle10.csv,7
hob,SmartHouse,hob_16min_cycle11.csv,16
hob,SmartHouse,hob_21min_cycle12.csv,21
hob,SmartHouse,hob_27min_cycle13.csv,27
hob,SmartHouse,hob_36min_cycle14.csv,36
hob,SmartHouse,hob_24min_cycle15.csv,24
hob,SmartHouse,hob_49min_cycle16.csv,49
hob,SmartHouse,hob_15min_cycle17.csv,15
hob,SmartHouse,hob_13min_cycle18.csv,13
hob,SmartHouse,hob_18min_cycle19.csv,18
hob,SmartHouse,hob_4min_cycle20.csv,4
hob,SmartHouse,hob_29min_cycle21.csv,29
hob,SmartHouse,hob_22min_cycle22.csv,22
hob,SmartHouse,hob_13min_cycle23.csv,13
hob,SmartHouse,hob_19min_cycle24.csv,19
hob,SmartHouse,hob_19min_cycle25.csv,19
hob,SmartHouse,hob_31min_cycle26.csv,31
hob,SmartHouse,hob_13min_cycle27.csv,13
hob,SmartHouse,hob_19min_cycle28.csv,19
hob,SmartHouse,hob_20min_cycle29.csv,20
hob,SmartHouse,hob_24min_cycle30.csv,24
extractor_hood,LPG,extractor_hood_15min_cycle1.csv,15
extractor_hood,LPG,extractor_hood_11min_cycle2.csv,11
extractor_hood,LPG,extractor_hood_18min_cycle3.csv,18
extractor_hood,LPG,extractor_hood_18min_cycle4.csv,18
extractor_hood,LPG,extractor_hood_19min_cycle5.csv,19
extractor_hood,LPG,extractor_hood_14min_cycle6.csv,14
extractor_hood,LPG,extractor_hood_10min_cycle7.csv,10
extractor_hood,LPG,extractor_hood_18min_cycle8.csv,18
extractor_hood,LPG,extractor_hood_19min_cycle9.csv,19
extractor_hood,LPG,extractor_hood_19min_cycle10.csv,19
extractor_hood,LPG,extractor_hood_63min_cycle11.csv,63
extractor_hood,LPG,extractor_hood_31min_cycle12.csv,31
extractor_hood,LPG,extractor_hood_31min_cycle13.csv,31
extractor_hood,LPG,extractor_hood_15min_cycle14.csv,15
extractor_hood,LPG,extractor_hood_11min_cycle15.csv,11
extractor_hood,LPG,extractor_hood_15min_cycle16.csv,15
extractor_hood,LPG,extractor_hood_48min_cycle17.csv,48
extractor_hood,LPG,extractor_hood_28min_cycle18.csv,28
small_cooking,LPG,small_cooking_2min_cycle1.csv,2
small_cooking,LPG,small_cooking_5min_cycle2.csv,5
small_cooking,LPG,small_cooking_134min_cycle3.csv,134
small_cooking,LPG,small_cooking_5min_cycle4.csv,5
small_cooking,LPG,small_cooking_1min_cycle5.csv,1
small_cooking,LPG,small_cooking_6min_cycle6.csv,6
small_cooking,LPG,small_cooking_69min_cycle7.csv,69
small_cooking,LPG,small_cooking_2min_cycle8.csv,2
small_cooking,LPG,small_cooking_31min_cycle9.csv,31
small_cooking,LPG,small_cooking_31min_cycle10.csv,31
small_cooking,LPG,small_cooking_2min_cycle11.csv,2
small_cooking,LPG,small_cooking_5min_cycle12.csv,5
small_cooking,LPG,small_cooking_162min_cycle13.csv,162
small_cooking,LPG,small_cooking_28min_cycle14.csv,28
small_cooking,LPG,small_cooking_5min_cycle15.csv,5
oven,LPG,oven_18min_cycle1.csv,18
oven,LPG,oven_18min_cycle2.csv,18
oven,LPG,oven_19min_cycle3.csv,19
oven,LPG,oven_9min_cycle4.csv,9
oven,LPG,oven_10min_cycle5.csv,10
oven,LPG,oven_9min_cycle6.csv,9
oven,LPG,oven_10min_cycle7.csv,10
oven,LPG,oven_18min_cycle8.csv,18
oven,LPG,oven_19min_cycle9.csv,19
oven,LPG,oven_19min_cycle10.csv,19
oven,LPG,oven_13min_cycle11.csv,13
oven,LPG,oven_13min_cycle12.csv,13
oven,LPG,oven_14min_cycle13.csv,14
oven,LPG,oven_10min_cycle14.csv,10
oven,LPG,oven_11min_cycle15.csv,11
oven,LPG,oven_32min_cycle16.csv,32
oven,LPG,oven_11min_cycle17.csv,11
oven,LPG,oven_29min_cycle18.csv,29
oven,LPG,oven_15min_cycle19.csv,15
oven,LPG,oven_16min_cycle20.csv,16
oven,LPG,oven_16min_cycle21.csv,16
oven,LPG,oven_9min_cycle22.csv,9
oven,LPG,oven_10min_cycle23.csv,10
bread_maker,LPG,bread_maker_14min_cycle1.csv,14
bread_maker,LPG,bread_maker_16min_cycle2.csv,16
bread_maker,LPG,bread_maker_12min_cycle3.csv,12
bread_maker,LPG,bread_maker_13min_cycle4.csv,13
bread_maker,LPG,bread_maker_14min_cycle5.csv,14
bread_maker,LPG,bread_maker_15min_cycle6.csv,15
microwave,SmartHouse,microwave_2min_cycle1.csv,2
microwave,SmartHouse,microwave_4min_cycle2.csv,4
microwave,SmartHouse,microwave_3min_cycle3.csv,3
microwave,SmartHouse,microwave_3min_cycle4.csv,3
microwave,SmartHouse,microwave_6min_cycle5.csv,6
microwave,SmartHouse,microwave_2min_cycle6.csv,2
microwave,SmartHouse,microwave_4min_cycle7.csv,4
microwave,SmartHouse,microwave_5min_cycle8.csv,5
microwave,SmartHouse,microwave_3min_cycle9.csv,3
microwave,SmartHouse,microwave_3min_cycle10.csv,3
microwave,SmartHouse,microwave_7min_cycle11.csv,7
microwave,SmartHouse,microwave_3min_cycle12.csv,3
microwave,SmartHouse,microwave_4min_cycle13.csv,4
microwave,SmartHouse,microwave_4min_cycle14.csv,4
microwave,SmartHouse,microwave_4min_cycle15.csv,4
microwave,SmartHouse,microwave_2min_cycle16.csv,2
microwave,SmartHouse,microwave_2min_cycle17.csv,2
microwave,SmartHouse,microwave_3min_cycle18.csv,3
microwave,SmartHouse,microwave_3min_cycle19.csv,3
microwave,SmartHouse,microwave_4min_cycle20.csv,4
microwave,SmartHouse,microwave_5min_cycle21.csv,5
microwave,SmartHouse,microwave_8min_cycle22.csv,8
microwave,SmartHouse,microwave_4min_cycle23.csv,4
microwave,SmartHouse,microwave_5min_cycle24.csv,5
microwave,SmartHouse,microwave_7min_cycle25.csv,7
microwave,SmartHouse,microwave_8min_cycle26.csv,8
microwave,SmartHouse,microwave_5min_cycle27.csv,5
microwave,SmartHouse,microwave_5min_cycle28.csv,5
microwave,SmartHouse,microwave_2min_cycle29.csv,2
microwave,SmartHouse,microwave_4min_cycle30.csv,4
microwave,SmartHouse,microwave_4min_cycle31.csv,4
microwave,SmartHouse,microwave_6min_cycle32.csv,6
microwave,SmartHouse,microwave_4min_cycle33.csv,4
microwave,SmartHouse,microwave_3min_cycle34.csv,3
microwave,SmartHouse,microwave_4min_cycle35.csv,4
microwave,SmartHouse,microwave_3min_cycle36.csv,3
microwave,SmartHouse,microwave_5min_cycle37.csv,5
dishwasher,LPG,dishwasher_93min_cycle1.csv,93
dishwasher,LPG,dishwasher_99min_cycle2.csv,99
dishwasher,LPG,dishwasher_95min_cycle3.csv,95
dishwasher,LPG,dishwasher_103min_cycle4.csv,103
dishwasher,LPG,dishwasher_111min_cycle5.csv,111
dishwasher,LPG,dishwasher_101min_cycle6.csv,101
dishwasher,LPG,dishwasher_95min_cycle7.csv,95
dishwasher,LPG,dishwasher_104min_cycle8.csv,104
dishwasher,LPG,dishwasher_120min_cycle9.csv,120
washing_machine,LPG,washing_machine_100min_cycle1.csv,100
washing_machine,LPG,washing_machine_104min_cycle2.csv,104
washing_machine,LPG,washing_machine_101min_cycle3.csv,101
washing_machine,LPG,washing_machine_105min_cycle4.csv,105
washing_machine,LPG,washing_machine_96min_cycle5.csv,96
washing_machine,LPG,washing_machine_106min_cycle6.csv,106
washing_machine,LPG,washing_machine_79min_cycle7.csv,79
washing_machine,LPG,washing_machine_101min_cycle8.csv,101
washing_machine,LPG,washing_machine_79min_cycle9.csv,79
kettle,LPG,kettle_5min_cycle1.csv,5
kettle,LPG,kettle_4min_cycle2.csv,4
kettle,LPG,kettle_5min_cycle3.csv,5
kettle,LPG,kettle_5min_cycle4.csv,5
kettle,LPG,kettle_5min_cycle5.csv,5
kettle,LPG,kettle_5min_cycle6.csv,5
kettle,LPG,kettle_4min_cycle7.csv,4
kettle,LPG,kettle_4min_cycle8.csv,4
kettle,LPG,kettle_5min_cycle9.csv,5
kettle,LPG,kettle_5min_cycle10.csv,5
kettle,LPG,kettle_4min_cycle11.csv,4
kettle,LPG,kettle_5min_cycle12.csv,5
kettle,LPG,kettle_4min_cycle13.csv,4
kettle,LPG,kettle_4min_cycle14.csv,4
kettle,LPG,kettle_4min_cycle15.csv,4
kettle,LPG,kettle_5min_cycle16.csv,5
kettle,LPG,kettle_5min_cycle17.csv,5
kettle,LPG,kettle_5min_cycle18.csv,5
kettle,LPG,kettle_4min_cycle19.csv,4
kettle,LPG,kettle_4min_cycle20.csv,4
kettle,LPG,kettle_4min_cycle21.csv,4
kettle,LPG,kettle_4min_cycle22.csv,4
kettle,LPG,kettle_5min_cycle23.csv,5
kettle,LPG,kettle_4min_cycle24.csv,4
kettle,LPG,kettle_5min_cycle25.csv,5
kettle,LPG,kettle_5min_cycle26.csv,5
kettle,LPG,kettle_5min_cycle27.csv,5
kettle,LPG,kettle_5min_cycle28.csv,5
kettle,LPG,kettle_4min_cycle29.csv,4
kettle,LPG,kettle_4min_cycle30.csv,4
kettle,LPG,kettle_4min_cycle31.csv,4
kettle,LPG,kettle_4min_cycle32.csv,4
kettle,LPG,kettle_5min_cycle33.csv,5
kettle,LPG,kettle_4min_cycle34.csv,4
kettle,LPG,kettle_5min_cycle35.csv,5
kettle,LPG,kettle_4min_cycle36.csv,4
kettle,LPG,kettle_5min_cycle37.csv,5
kettle,LPG,kettle_5min_cycle38.csv,5
kettle,LPG,kettle_4min_cycle39.csv,4
kettle,LPG,kettle_4min_cycle40.csv,4
kettle,LPG,kettle_5min_cycle41.csv,5
kettle,LPG,kettle_5min_cycle42.csv,5
kettle,LPG,kettle_4min_cycle43.csv,4
kettle,LPG,kettle_4min_cycle44.csv,4
kettle,LPG,kettle_5min_cycle45.csv,5
kettle,LPG,kettle_4min_cycle46.csv,4
kettle,LPG,kettle_5min_cycle47.csv,5
kettle,LPG,kettle_5min_cycle48.csv,5
kettle,LPG,kettle_5min_cycle49.csv,5
kettle,LPG,kettle_4min_cycle50.csv,4
kettle,LPG,kettle_5min_cycle51.csv,5
kettle,LPG,kettle_4min_cycle52.csv,4
kettle,LPG,kettle_5min_cycle53.csv,5
kettle,LPG,kettle_4min_cycle54.csv,4
kettle,LPG,kettle_4min_cycle55.csv,4
kettle,LPG,kettle_5min_cycle56.csv,5
kettle,LPG,kettle_4min_cycle57.csv,4
kettle,LPG,kettle_5min_cycle58.csv,5
coffee_machine,LPG,coffee_machine_10min_cycle1.csv,10
coffee_machine,LPG,coffee_machine_11min_cycle2.csv,11
coffee_machine,LPG,coffee_machine_10min_cycle3.csv,10
toaster,LPG,toaster_3min_cycle1.csv,3
toaster,LPG,toaster_2min_cycle2.csv,2
toaster,LPG,toaster_3min_cycle3.csv,3
toaster,LPG,toaster_3min_cycle4.csv,3
toaster,LPG,toaster_3min_cycle5.csv,3
toaster,LPG,toaster_3min_cycle6.csv,3
toaster,LPG,toaster_2min_cycle7.csv,2
toaster,LPG,toaster_2min_cycle8.csv,2
toaster,LPG,toaster_3min_cycle9.csv,3
toaster,LPG,toaster_3min_cycle10.csv,3
toaster,LPG,toaster_2min_cycle11.csv,2
toaster,LPG,toaster_3min_cycle12.csv,3
toaster,LPG,toaster_2min_cycle13.csv,2
toaster,LPG,toaster_2min_cycle14.csv,2
toaster,LPG,toaster_3min_cycle15.csv,3
toaster,LPG,toaster_3min_cycle16.csv,3
toaster,LPG,toaster_3min_cycle17.csv,3
toaster,LPG,toaster_2min_cycle18.csv,2
toaster,LPG,toaster_2min_cycle19.csv,2
toaster,LPG,toaster_2min_cycle20.csv,2
toaster,LPG,toaster_2min_cycle21.csv,2
toaster,LPG,toaster_3min_cycle22.csv,3
toaster,LPG,toaster_2min_cycle23.csv,2
toaster,LPG,toaster_3min_cycle24.csv,3
toaster,LPG,toaster_3min_cycle25.csv,3
toaster,LPG,toaster_3min_cycle26.csv,3
