usage,source,fichier,durée_min
lights,LPG,lights_74min_cycle1.csv,74
lights,LPG,lights_10min_cycle2.csv,10
lights,LPG,lights_20min_cycle3.csv,20
lights,LPG,lights_20min_cycle4.csv,20
lights,LPG,lights_308min_cycle5.csv,308
lights,LPG,lights_10min_cycle6.csv,10
lights,LPG,lights_10min_cycle7.csv,10
lights,LPG,lights_10min_cycle8.csv,10
lights,LPG,lights_142min_cycle9.csv,142
lights,LPG,lights_167min_cycle10.csv,167
lights,LPG,lights_219min_cycle11.csv,219
lights,LPG,lights_75min_cycle12.csv,75
lights,LPG,lights_28min_cycle13.csv,28
lights,LPG,lights_153min_cycle14.csv,153
lights,LPG,lights_133min_cycle15.csv,133
lights,LPG,lights_52min_cycle16.csv,52
lights,LPG,lights_30min_cycle17.csv,30
lights,LPG,lights_10min_cycle18.csv,10
lights,LPG,lights_10min_cycle19.csv,10
lights,LPG,lights_10min_cycle20.csv,10
lights,LPG,lights_40min_cycle21.csv,40
lights,LPG,lights_70min_cycle22.csv,70
lights,LPG,lights_245min_cycle23.csv,245
lights,LPG,lights_30min_cycle24.csv,30
lights,LPG,lights_212min_cycle25.csv,212
lights,LPG,lights_165min_cycle26.csv,165
lights,LPG,lights_90min_cycle27.csv,90
lights,LPG,lights_20min_cycle28.csv,20
lights,LPG,lights_30min_cycle29.csv,30
lights,LPG,lights_154min_cycle30.csv,154
lights,LPG,lights_175min_cycle31.csv,175
lights,LPG,lights_10min_cycle32.csv,10
lights,LPG,lights_20min_cycle33.csv,20
lights,LPG,lights_80min_cycle34.csv,80
lights,LPG,lights_10min_cycle35.csv,10
lights,LPG,lights_246min_cycle36.csv,246
lights,LPG,lights_179min_cycle37.csv,179
lights,LPG,lights_279min_cycle38.csv,279
lights,LPG,lights_325min_cycle39.csv,325
hob,SmartHouse,hob_14min_cycle1.csv,14
hob,SmartHouse,hob_7min_cycle2.csv,7
hob,SmartHouse,hob_14min_cycle3.csv,14
hob,SmartHouse,hob_9min_cycle4.csv,9
hob,SmartHouse,hob_30min_cycle5.csv,30
hob,SmartHouse,hob_4min_cycle6.csv,4
hob,SmartHouse,hob_26min_cycle7.csv,26
hob,SmartHouse,hob_21min_cycle8.csv,21
hob,SmartHouse,hob_11min_cycle9.csv,11
hob,SmartHouse,hob_7min_cycle10.csv,7
hob,SmartHouse,hob_16min_cycle11.csv,16
hob,SmartHouse,hob_21min_cycle12.csv,21
hob,SmartHouse,hob_27min_cycle13.csv,27
hob,SmartHouse,hob_36min_cycle14.csv,36
hob,SmartHouse,hob_24min_cycle15.csv,24
hob,SmartHouse,hob_49min_cycle16.csv,49
hob,SmartHouse,hob_15min_cycle17.csv,15
hob,SmartHouse,hob_13min_cycle18.csv,13
hob,SmartHouse,hob_18min_cycle19.csv,18
hob,SmartHouse,hob_4min_cycle20.csv,4
hob,SmartHouse,hob_29min_cycle21.csv,29
hob,SmartHouse,hob_22min_cycle22.csv,22
hob,SmartHouse,hob_13min_cycle23.csv,13
hob,SmartHouse,hob_19min_cycle24.csv,19
hob,SmartHouse,hob_19min_cycle25.csv,19
hob,SmartHouse,hob_31min_cycle26.csv,31
hob,SmartHouse,hob_13min_cycle27.csv,13
hob,SmartHouse,hob_19min_cycle28.csv,19
hob,SmartHouse,hob_20min_cycle29.csv,20
hob,SmartHouse,hob_24min_cycle30.csv,24
extractor_hood,LPG,extractor_hood_16min_cycle1.csv,16
extractor_hood,LPG,extractor_hood_5min_cycle2.csv,5
extractor_hood,LPG,extractor_hood_7min_cycle3.csv,7
extractor_hood,LPG,extractor_hood_15min_cycle4.csv,15
extractor_hood,LPG,extractor_hood_16min_cycle5.csv,16
extractor_hood,LPG,extractor_hood_15min_cycle6.csv,15
extractor_hood,LPG,extractor_hood_15min_cycle7.csv,15
extractor_hood,LPG,extractor_hood_13min_cycle8.csv,13
extractor_hood,LPG,extractor_hood_13min_cycle9.csv,13
microwave,SmartHouse,microwave_2min_cycle1.csv,2
microwave,SmartHouse,microwave_4min_cycle2.csv,4
microwave,SmartHouse,microwave_3min_cycle3.csv,3
microwave,SmartHouse,microwave_3min_cycle4.csv,3
microwave,SmartHouse,microwave_6min_cycle5.csv,6
microwave,SmartHouse,microwave_2min_cycle6.csv,2
microwave,SmartHouse,microwave_4min_cycle7.csv,4
microwave,SmartHouse,microwave_5min_cycle8.csv,5
microwave,SmartHouse,microwave_3min_cycle9.csv,3
microwave,SmartHouse,microwave_3min_cycle10.csv,3
microwave,SmartHouse,microwave_7min_cycle11.csv,7
microwave,SmartHouse,microwave_3min_cycle12.csv,3
microwave,SmartHouse,microwave_4min_cycle13.csv,4
microwave,SmartHouse,microwave_4min_cycle14.csv,4
microwave,SmartHouse,microwave_4min_cycle15.csv,4
microwave,SmartHouse,microwave_2min_cycle16.csv,2
microwave,SmartHouse,microwave_2min_cycle17.csv,2
microwave,SmartHouse,microwave_3min_cycle18.csv,3
microwave,SmartHouse,microwave_3min_cycle19.csv,3
microwave,SmartHouse,microwave_4min_cycle20.csv,4
microwave,SmartHouse,microwave_5min_cycle21.csv,5
microwave,SmartHouse,microwave_8min_cycle22.csv,8
microwave,SmartHouse,microwave_4min_cycle23.csv,4
microwave,SmartHouse,microwave_5min_cycle24.csv,5
microwave,SmartHouse,microwave_7min_cycle25.csv,7
microwave,SmartHouse,microwave_8min_cycle26.csv,8
microwave,SmartHouse,microwave_5min_cycle27.csv,5
microwave,SmartHouse,microwave_5min_cycle28.csv,5
microwave,SmartHouse,microwave_2min_cycle29.csv,2
microwave,SmartHouse,microwave_4min_cycle30.csv,4
microwave,SmartHouse,microwave_4min_cycle31.csv,4
microwave,SmartHouse,microwave_6min_cycle32.csv,6
microwave,SmartHouse,microwave_4min_cycle33.csv,4
microwave,SmartHouse,microwave_3min_cycle34.csv,3
microwave,SmartHouse,microwave_4min_cycle35.csv,4
microwave,SmartHouse,microwave_3min_cycle36.csv,3
microwave,SmartHouse,microwave_5min_cycle37.csv,5
dishwasher,LPG,dishwasher_32min_cycle1.csv,32
dishwasher,LPG,dishwasher_4min_cycle2.csv,4
dishwasher,LPG,dishwasher_37min_cycle3.csv,37
dishwasher,LPG,dishwasher_5min_cycle4.csv,5
dishwasher,LPG,dishwasher_35min_cycle5.csv,35
dishwasher,LPG,dishwasher_4min_cycle6.csv,4
dishwasher,LPG,dishwasher_36min_cycle7.csv,36
dishwasher,LPG,dishwasher_4min_cycle8.csv,4
dishwasher,LPG,dishwasher_33min_cycle9.csv,33
dishwasher,LPG,dishwasher_4min_cycle10.csv,4
dishwasher,LPG,dishwasher_30min_cycle11.csv,30
dishwasher,LPG,dishwasher_3min_cycle12.csv,3
